VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2022-01-01T12:27:27.000000,2022-01-01T12:41:28.000000,1.0,8.9,1.0,N,132,95,2,25.0,0.0,0.5,0.0,0.0,0.3,27.05,0.0,1.25
2,2022-01-01T13:44:05.000000,2022-01-01T13:54:59.000000,2.0,2.2,1.0,N,107,48,1,9.5,0.0,0.5,2.56,0.0,0.3,15.36,2.5,0.0
2,2022-01-01T13:51:45.000000,2022-01-01T14:02:15.000000,1.0,1.94,1.0,N,107,48,2,9.5,0.0,0.5,0.0,0.0,0.3,12.8,2.5,0.0
2,2022-01-01T14:22:45.000000,2022-01-01T14:32:36.000000,5.0,1.27,1.0,N,141,237,1,8.5,0.0,0.5,3.54,0.0,0.3,15.34,2.5,0.0
2,2022-01-01T14:26:39.000000,2022-01-01T14:31:28.000000,1.0,0.92,1.0,N,79,113,1,5.5,0.0,0.5,2.2,0.0,0.3,11.0,2.5,0.0
1,2022-01-01T14:53:43.000000,2022-01-01T15:21:39.000000,1.0,19.6,2.0,N,132,236,1,52.0,3.75,0.5,12.6,6.55,0.3,75.7,2.5,1.25
2,2022-01-01T15:33:00.000000,2022-01-01T16:02:29.000000,2.0,16.97,2.0,N,132,100,2,52.0,0.0,0.5,0.0,6.55,0.3,63.1,2.5,1.25
2,2022-01-01T15:33:36.000000,2022-01-01T15:55:27.000000,1.0,4.46,1.0,N,107,238,1,17.5,0.0,0.5,4.16,0.0,0.3,24.96,2.5,0.0
1,2022-01-01T16:01:30.000000,2022-01-01T16:08:57.000000,2.0,1.6,1.0,N,230,239,1,7.5,2.5,0.5,2.15,0.0,0.3,12.95,2.5,0.0
1,2022-01-01T16:31:57.000000,2022-01-01T16:35:33.000000,1.0,1.0,1.0,N,229,137,1,5.0,2.5,0.5,1.65,0.0,0.3,9.95,2.5,0.0
2,2022-01-01T16:33:20.000000,2022-01-01T17:02:42.000000,3.0,17.61,2.0,N,161,132,1,52.0,0.0,0.5,12.37,6.55,0.3,74.22,2.5,0.0
2,2022-01-01T17:17:48.000000,2022-01-01T17:23:44.000000,2.0,0.7,1.0,N,230,48,1,5.5,0.0,0.5,1.76,0.0,0.3,10.56,2.5,0.0
2,2022-01-01T17:29:45.000000,2022-01-01T17:47:29.000000,1.0,4.97,1.0,N,87,170,2,17.5,0.0,0.5,0.0,0.0,0.3,20.8,2.5,0.0
1,2022-01-01T17:37:49.000000,2022-01-01T17:44:00.000000,1.0,1.0,1.0,N,135,121,1,5.5,0.0,0.5,3.0,0.0,0.3,9.3,0.0,0.0
